code	mass	ext_cf	formula+	formula-	in_base
R110_dT	0.0	0	C33H29N7O5		True
Alk_dT	0.0	0	C9ONH9		True
5Phos	80.0	0			True
+m	0.0	0	C2H2O		True
LNA	0.0	0	CO		True
tio	0.0	0	S	O	True
6FAM	537.5	20900			True
56-FAM	537.5	20960			True
xFAM	537.5	20960		HPO2	True
SIMA	759.0	31600			True
xSIMA	759.0	31600		HPO2	True
BHQ1	0.0	8000	C21H18N6O3C4O2H9PO2		True
3BHQ_1	0.0	35935	C21H18N6O3C4O2H9PO2		True
BHQ2	0.0	8000	C20H16N6O4C4O2H9PO2		True
Cy5	873.48	10000			True
xCy5	612.0	10000		HPO2	True
Cy5.5	712.0	21500			True
xCy5.5	712.0	21500		HPO2	True
DMT	0.0	0	C21H18O2		True
DMTalk	575.0	0			True
ROX	888.97	57000			True
R6G	619.0	30000			True
HEX	744.0	31600			True
NH2	180.0	0			True
Alk	271.0	0			True
Biotin	514.54	0			True
TAMRA	783.81	32300			True
azR6G	811.4	30000			True
azCy5	836.0	10000			True
azSIMA	950.5	31600			True
azROX	887.97	57000			True
